interval,fraction,std
2, 3.8461538461538396,3.8461538461538396
4, 8.791208791208803,8.791208791208803
6, 14.560439560439562,14.560439560439562
8, 18.95604395604397,18.95604395604397
10, 21.978021978021985,25.549450549450555
20, 34.8901098901099,39.835164835164846
100, 76.92307692307692,82.14285714285714
500, 100,100

