volt,curr
-160.8277591973244, -1.0
-150.87792642140468, -0.8803222279392853
-140.3428093645485, -0.7556116542320557
-130.97826086956525, -0.6452919989709289
-121.61371237458195, -0.5301646514021097
-110.49331103678931, -0.42470092616413657
-100.83612040133781, -0.309581618214561
-91.1789297658863, -0.2088853871880625
-80.05852842809365, -0.09861396964239755
-70.40133779264215, 0.0020822613841009474
-60.45150501672239, 0.11238583740674057
-50.79431438127091, 0.2034666838178545
-40.259197324414714, 0.29452341137123783
-30.60200668896323, 0.39041195009004404
-20.066889632107006, 0.48627636995111967
-10.994983277591984, 0.5725656032930284
-0.45986622073581884, 0.668430023154104
9.197324414715723, 0.745087792642141
18.85451505016721, 0.8361686390532549
