volt,curr
-148.59550561797755, -55.54491953501923
-135.95505617977528, -44.359558656866255
-124.71910112359546, -32.815990998283866
-112.07865168539325, -23.43178285788298
-100.84269662921349, -12.248445746851019
-85.39325842696627, 0.3818848557458523
-70.64606741573033, 2.9247482433700895
-55.19662921348316, 1.8663180390506113
-39.04494382022472, 1.8895913609429158
-16.573033707865136, 4.0833549201826145
-1.1235955056180273, 4.105616358514368
17.837078651685374, 2.6920150244471017
37.5, 2.3601172165916466
57.16292134831457, 2.388449956286621
71.20786516853929, 2.4086876274973292
