t,f,gId,g
-97.56097560975604, -0.22857142857142954, 0, mean
-68.29268292682946, -0.31428571428571583, 1, mean
-31.70731707317077, -0.31428571428571583, 2, mean
-7.317073170731874, -0.3428571428571434, 3, mean
17.07317073170725, -0.4571428571428582, 4, mean
34.1463414634145, -0.5142857142857151, 5, mean
56.09756097560967, -0.6000000000000014, 6, mean
75.60975609756088, -0.6571428571428592, 7, mean
75.60975609756088, -0.7428571428571447, 7, std
97.56097560975604, -0.771428571428574, 8, mean
97.56097560975604, -0.828571428571431, 8, std
114.63414634146329, -0.7428571428571447, 9, mean
114.63414634146329, -0.828571428571431, 9, std
146.3414634146343, -0.7428571428571447, 10, mean
146.3414634146343, -0.6571428571428592, 10, std
185.36585365853648, -0.7142857142857162, 11, mean
185.36585365853648, -0.6285714285714308, 11, std
221.95121951219494, -0.6857142857142868, 12, mean
221.95121951219494, -0.8000000000000025, 12, std
248.78048780487802, -0.6571428571428592, 13, mean
251.21951219512175, -0.771428571428574, 13, std
287.8048780487802, -0.571428571428573, 14, mean
287.8048780487802, -0.6571428571428592, 14, std
314.6341463414633, -0.5428571428571445, 15, mean
317.0731707317075, -0.6285714285714308, 15, std
339.0243902439024, -0.5142857142857151, 16, mean
339.0243902439024, -0.6000000000000014, 16, std
363.4146341463413, -0.571428571428573, 17, mean
363.4146341463413, -0.4571428571428582, 17, std
397.56097560975604, -0.48571428571428754, 18, mean
395.1219512195123, -0.40000000000000124, 18, std
