t,f,gId,g
-58.536585365853625, -0.3428571428571434, 0, mean
-19.51219512195121, -0.31428571428571583, 1, mean
0, -0.3428571428571434, 2, mean
14.634146341463293, -0.4571428571428582, 3, mean
34.1463414634145, -0.828571428571431, 4, mean
34.1463414634145, -1.0571428571428596, 4, std
51.21951219512175, -1.0571428571428596, 5, mean
48.78048780487802, -1.1714285714285753, 5, std
68.29268292682923, -1.0571428571428596, 6, mean
68.29268292682923, -1.2000000000000028, 6, std
78.04878048780483, -1.0571428571428596, 7, mean
78.04878048780483, -1.1714285714285753, 7, std
99.99999999999977, -1.0571428571428596, 8, mean
99.99999999999977, -1.142857142857146, 8, std
124.39024390243867, -0.9714285714285742, 9, mean
124.39024390243867, -1.085714285714289, 9, std
141.46341463414637, -0.8571428571428594, 10, mean
141.46341463414637, -0.9428571428571457, 10, std
158.5365853658534, -0.8000000000000025, 11, mean
158.5365853658534, -0.8857142857142879, 11, std
182.92682926829275, -0.7428571428571447, 12, mean
182.92682926829275, -0.828571428571431, 12, std
204.8780487804877, -0.6857142857142868, 13, mean
204.8780487804877, -0.7428571428571447, 13, std
229.26829268292659, -0.571428571428573, 14, mean
229.26829268292659, -0.6571428571428592, 14, std
248.78048780487802, -0.5142857142857151, 15, mean
248.78048780487802, -0.6285714285714308, 15, std
280.48780487804856, -0.3714285714285719, 16, mean
280.48780487804856, -0.5142857142857151, 16, std
304.8780487804877, -0.3428571428571434, 17, mean
304.8780487804877, -0.4571428571428582, 17, std
336.58536585365846, -0.22857142857142954, 18, mean
339.0243902439024, -0.31428571428571583, 18, std
363.4146341463413, -0.22857142857142954, 19, mean
363.4146341463413, -0.3714285714285719, 19, std
404.8780487804877, -0.1714285714285717, 20, mean
404.8780487804877, -0.3714285714285719, 20, std
